handicap,odds,participant_name,name,description,game_date
-4.5,86.95652173913044,Den Nuggets,DEN Nuggets - DEN Nuggets,Spread,2023-10-24
4.5,95.23809523809523,La Lakers,LA Lakers - LA Lakers,Spread,2023-10-24
0.0,61.72839506172839,Den Nuggets,DEN Nuggets - DEN Nuggets,Moneyline 1st Half,2023-10-24
0.0,136.0,La Lakers,LA Lakers - LA Lakers,Moneyline 1st Half,2023-10-24
-2.5,90.9090909090909,Den Nuggets,DEN Nuggets - DEN Nuggets,Spread 1st Half,2023-10-24
2.5,90.9090909090909,La Lakers,LA Lakers - LA Lakers,Spread 1st Half,2023-10-24
0.0,70.4225352112676,Den Nuggets,DEN Nuggets - DEN Nuggets,Moneyline 1st Quarter,2023-10-24
0.0,120.0,La Lakers,LA Lakers - LA Lakers,Moneyline 1st Quarter,2023-10-24
-1.5,92.5925925925926,Den Nuggets,DEN Nuggets - DEN Nuggets,Spread 1st Quarter,2023-10-24
1.5,89.28571428571429,La Lakers,LA Lakers - LA Lakers,Spread 1st Quarter,2023-10-24
0.0,67.56756756756756,Gs Warriors,GS Warriors - GS Warriors,Moneyline,2023-10-24
0.0,124.0,Pho Suns,PHO Suns - PHO Suns,Moneyline,2023-10-24
-2.5,86.95652173913044,Gs Warriors,GS Warriors - GS Warriors,Spread,2023-10-24
2.5,95.23809523809523,Pho Suns,PHO Suns - PHO Suns,Spread,2023-10-24
0.0,70.4225352112676,Gs Warriors,GS Warriors - GS Warriors,Moneyline 1st Half,2023-10-24
0.0,120.0,Pho Suns,PHO Suns - PHO Suns,Moneyline 1st Half,2023-10-24
-1.5,92.5925925925926,Gs Warriors,GS Warriors - GS Warriors,Spread 1st Half,2023-10-24
1.5,89.28571428571429,Pho Suns,PHO Suns - PHO Suns,Spread 1st Half,2023-10-24
0.0,76.92307692307693,Gs Warriors,GS Warriors - GS Warriors,Moneyline 1st Quarter,2023-10-24
0.0,110.0,Pho Suns,PHO Suns - PHO Suns,Moneyline 1st Quarter,2023-10-24
-1.0,92.5925925925926,Gs Warriors,GS Warriors - GS Warriors,Spread 1st Quarter,2023-10-24
1.0,89.28571428571429,Pho Suns,PHO Suns - PHO Suns,Spread 1st Quarter,2023-10-24
0.0,145.0,Cha Hornets,CHA Hornets - CHA Hornets,Moneyline,2023-10-25
-4.0,90.9090909090909,Atl Hawks,ATL Hawks - ATL Hawks,Spread,2023-10-25
4.0,90.9090909090909,Cha Hornets,CHA Hornets - CHA Hornets,Spread,2023-10-25
