handicap,odds,participant_name,name,description,game_date
-7.5,83.33333333333334,Den Nuggets,DEN Nuggets - DEN Nuggets,Spread,2023-10-24
7.5,90.9090909090909,La Lakers,LA Lakers - LA Lakers,Spread,2023-10-24
7.5,90.9090909090909,Gs Warriors,GS Warriors - GS Warriors,Spread,2023-10-24
-7.5,83.33333333333334,Pho Suns,PHO Suns - PHO Suns,Spread,2023-10-24
0.0,150.0,Cha Hornets,CHA Hornets - CHA Hornets,Moneyline,2023-10-25
-3.5,80.0,Atl Hawks,ATL Hawks - ATL Hawks,Spread,2023-10-25
3.5,95.23809523809523,Cha Hornets,CHA Hornets - CHA Hornets,Spread,2023-10-25
-9.5,120.0,Ind Pacers,IND Pacers - IND Pacers,Spread,2023-10-25
-0.5,90.9090909090909,Ind Pacers,IND Pacers - IND Pacers,Spread,2023-10-25
0.5,83.33333333333334,Was Wizards,WAS Wizards - WAS Wizards,Spread,2023-10-25
9.5,66.66666666666666,Was Wizards,WAS Wizards - WAS Wizards,Spread,2023-10-25
-6.5,90.9090909090909,Bos Celtics,BOS Celtics - BOS Celtics,Spread,2023-10-25
6.5,83.33333333333334,Ny Knicks,NY Knicks - NY Knicks,Spread,2023-10-25
9.5,90.9090909090909,Hou Rockets,HOU Rockets - HOU Rockets,Spread,2023-10-25
-9.5,83.33333333333334,Orl Magic,ORL Magic - ORL Magic,Spread,2023-10-25
4.5,86.95652173913044,Bkn Nets,BKN Nets - BKN Nets,Spread,2023-10-25
-4.5,86.95652173913044,Cle Cavaliers,CLE Cavaliers - CLE Cavaliers,Spread,2023-10-25
12.5,90.9090909090909,Det Pistons,DET Pistons - DET Pistons,Spread,2023-10-25
-12.5,83.33333333333334,Mia Heat,MIA Heat - MIA Heat,Spread,2023-10-25
0.0,100.0,Min Timberwolves,MIN Timberwolves - MIN Timberwolves,Moneyline,2023-10-25
0.0,76.92307692307693,Tor Raptors,TOR Raptors - TOR Raptors,Moneyline,2023-10-25
1.5,90.9090909090909,Min Timberwolves,MIN Timberwolves - MIN Timberwolves,Spread,2023-10-25
-1.5,83.33333333333334,Tor Raptors,TOR Raptors - TOR Raptors,Spread,2023-10-25
0.0,150.0,Chi Bulls,CHI Bulls - CHI Bulls,Moneyline,2023-10-25
3.5,95.23809523809523,Chi Bulls,CHI Bulls - CHI Bulls,Spread,2023-10-25
-3.5,80.0,Okc Thunder,OKC Thunder - OKC Thunder,Spread,2023-10-25
-2.5,80.0,Mem Grizzlies,MEM Grizzlies - MEM Grizzlies,Spread,2023-10-25
5.5,95.23809523809523,Mem Grizzlies,MEM Grizzlies - MEM Grizzlies,Spread,2023-10-25
6.5,83.33333333333334,Mem Grizzlies,MEM Grizzlies - MEM Grizzlies,Spread,2023-10-25
-6.5,90.9090909090909,No Pelicans,NO Pelicans - NO Pelicans,Spread,2023-10-25
-5.5,80.0,No Pelicans,NO Pelicans - NO Pelicans,Spread,2023-10-25
2.5,95.23809523809523,No Pelicans,NO Pelicans - NO Pelicans,Spread,2023-10-25
-11.5,95.23809523809523,Sac Kings,SAC Kings - SAC Kings,Spread,2023-10-25
11.5,80.0,Uta Jazz,UTA Jazz - UTA Jazz,Spread,2023-10-25
0.0,83.33333333333334,Dal Mavericks,DAL Mavericks - DAL Mavericks,Moneyline,2023-10-25
0.0,90.9090909090909,Sa Spurs,SA Spurs - SA Spurs,Moneyline,2023-10-25
-1.5,90.9090909090909,Dal Mavericks,DAL Mavericks - DAL Mavericks,Spread,2023-10-25
1.5,83.33333333333334,Sa Spurs,SA Spurs - SA Spurs,Spread,2023-10-25
-19.5,86.95652173913044,La Clippers,LA Clippers - LA Clippers,Spread,2023-10-25
19.5,86.95652173913044,Por Trail Blazers,POR Trail Blazers - POR Trail Blazers,Spread,2023-10-25
-9.5,90.9090909090909,Mil Bucks,MIL Bucks - MIL Bucks,Spread,2023-10-26
9.5,83.33333333333334,Phi 76Ers,PHI 76ers - PHI 76ers,Spread,2023-10-26
0.0,68.96551724137932,La Lakers,LA Lakers - LA Lakers,Moneyline,2023-10-26
0.0,114.0,Pho Suns,PHO Suns - PHO Suns,Moneyline,2023-10-26
-2.5,86.95652173913044,La Lakers,LA Lakers - LA Lakers,Spread,2023-10-26
2.5,86.95652173913044,Pho Suns,PHO Suns - PHO Suns,Spread,2023-10-26
5.5,83.33333333333334,Cha Hornets,CHA Hornets - CHA Hornets,Spread,2023-10-27
-5.5,90.9090909090909,Det Pistons,DET Pistons - DET Pistons,Spread,2023-10-27
-7.5,86.95652173913044,Den Nuggets,DEN Nuggets - DEN Nuggets,Spread,2023-10-27
7.5,86.95652173913044,Mem Grizzlies,MEM Grizzlies - MEM Grizzlies,Spread,2023-10-27
5.5,95.23809523809523,Atl Hawks,ATL Hawks - ATL Hawks,Spread,2023-10-27
-5.5,80.0,Ny Knicks,NY Knicks - NY Knicks,Spread,2023-10-27
-8.5,83.33333333333334,Bos Celtics,BOS Celtics - BOS Celtics,Spread,2023-10-27
8.5,90.9090909090909,Mia Heat,MIA Heat - MIA Heat,Spread,2023-10-27
6.5,86.95652173913044,Cle Cavaliers,CLE Cavaliers - CLE Cavaliers,Spread,2023-10-27
-6.5,86.95652173913044,Okc Thunder,OKC Thunder - OKC Thunder,Spread,2023-10-27
0.0,68.96551724137932,Chi Bulls,CHI Bulls - CHI Bulls,Moneyline,2023-10-27
0.0,114.0,Tor Raptors,TOR Raptors - TOR Raptors,Moneyline,2023-10-27
-2.5,83.33333333333334,Chi Bulls,CHI Bulls - CHI Bulls,Spread,2023-10-27
2.5,90.9090909090909,Tor Raptors,TOR Raptors - TOR Raptors,Spread,2023-10-27
0.0,120.0,Hou Rockets,HOU Rockets - HOU Rockets,Moneyline,2023-10-27
0.0,66.66666666666666,Sa Spurs,SA Spurs - SA Spurs,Moneyline,2023-10-27
