timestamp,handicap,odds,name,description,first
2023-10-25 03:11:11,4.5,71.42857142857143,Golden State Warriors,Spread Betting,0.0
2023-10-25 03:11:11,-8.5,94.33962264150944,Phoenix Suns,Spread Betting,0.0
2023-10-25 01:10:26,2.5,90.9090909090909,Phoenix Suns,Spread Betting,1.0
2023-10-25 01:10:26,-2.5,90.9090909090909,Golden State Warriors,Spread Betting,1.0
2023-10-25 00:35:14,-10.5,71.42857142857143,Denver Nuggets,Spread Betting,0.0
2023-10-25 00:35:14,8.5,87.71929824561403,Los Angeles Lakers,Spread Betting,0.0
2023-10-24 23:12:36,-5.0,94.33962264150944,Denver Nuggets,Spread Betting,1.0
2023-10-24 23:12:36,5.0,87.71929824561403,Los Angeles Lakers,Spread Betting,1.0
2023-10-26 03:40:09,19.5,87.71929824561403,Portland Trail Blazers,Spread Betting,0.0
2023-10-26 03:40:09,-19.5,87.71929824561403,Los Angeles Clippers,Spread Betting,0.0
2023-10-26 02:40:05,3.5,102.0,San Antonio Spurs,Spread Betting,0.0
2023-10-26 02:40:05,-3.5,75.75757575757575,Dallas Mavericks,Spread Betting,0.0
2023-10-26 02:20:15,-9.5,90.9090909090909,Los Angeles Clippers,Spread Betting,1.0
2023-10-26 02:20:15,9.5,90.9090909090909,Portland Trail Blazers,Spread Betting,1.0
2023-10-26 02:10:12,-11.5,88.49557522123894,Sacramento Kings,Spread Betting,0.0
2023-10-26 02:10:12,11.5,86.95652173913044,Utah Jazz,Spread Betting,0.0
2023-10-26 01:10:04,-3.5,96.15384615384616,New Orleans Pelicans,Spread Betting,0.0
2023-10-26 01:10:04,-1.5,112.0,Chicago Bulls,Spread Betting,0.0
2023-10-26 01:10:04,-4.5,84.7457627118644,Oklahoma City Thunder,Spread Betting,0.0
2023-10-26 01:10:04,3.5,80.0,Memphis Grizzlies,Spread Betting,0.0
2023-10-26 00:41:05,-11.5,84.7457627118644,Miami Heat,Spread Betting,0.0
2023-10-26 00:41:05,-3.5,98.0392156862745,Toronto Raptors,Spread Betting,0.0
2023-10-26 00:41:05,3.5,78.125,Minnesota Timberwolves,Spread Betting,0.0
2023-10-26 00:41:05,13.5,76.92307692307693,Detroit Pistons,Spread Betting,0.0
2023-10-26 00:41:05,1.5,72.46376811594203,Brooklyn Nets,Spread Betting,0.0
2023-10-26 00:41:05,-1.5,106.0,Cleveland Cavaliers,Spread Betting,0.0
2023-10-26 00:25:17,4.5,90.9090909090909,San Antonio Spurs,Spread Betting,1.0
2023-10-26 00:15:56,-4.5,89.28571428571429,Dallas Mavericks,Spread Betting,1.0
2023-10-26 00:10:40,-11.5,83.33333333333334,Orlando Magic,Spread Betting,0.0
2023-10-26 00:10:40,11.5,92.5925925925926,Houston Rockets,Spread Betting,0.0
2023-10-26 00:10:24,-7.5,92.5925925925926,Atlanta Hawks,Spread Betting,0.0
2023-10-26 00:10:24,3.5,87.71929824561403,Charlotte Hornets,Spread Betting,0.0
2023-10-26 00:10:24,7.5,67.56756756756756,New York Knicks,Spread Betting,0.0
2023-10-26 00:10:24,-7.5,114.0,Boston Celtics,Spread Betting,0.0
2023-10-26 00:10:24,-6.5,87.71929824561403,Indiana Pacers,Spread Betting,0.0
2023-10-26 00:10:24,6.5,87.71929824561403,Washington Wizards,Spread Betting,0.0
2023-10-25 23:51:21,-1.0,90.9090909090909,Memphis Grizzlies,Spread Betting,1.0
2023-10-25 23:51:21,1.0,90.9090909090909,New Orleans Pelicans,Spread Betting,1.0
2023-10-25 23:25:41,1.5,94.33962264150944,Brooklyn Nets,Spread Betting,1.0
2023-10-25 23:25:41,-1.5,87.71929824561403,Cleveland Cavaliers,Spread Betting,1.0
2023-10-25 22:55:04,4.0,90.9090909090909,New York Knicks,Spread Betting,1.0
2023-10-25 22:55:04,-4.0,90.9090909090909,Boston Celtics,Spread Betting,1.0
2023-10-25 22:45:20,-3.5,87.71929824561403,Atlanta Hawks,Spread Betting,1.0
2023-10-25 22:45:20,4.0,90.9090909090909,Charlotte Hornets,Spread Betting,1.0
2023-10-25 22:35:05,-9.5,92.5925925925926,Miami Heat,Spread Betting,1.0
2023-10-25 22:35:05,9.5,89.28571428571429,Detroit Pistons,Spread Betting,1.0
2023-10-25 22:15:50,-4.5,90.9090909090909,Indiana Pacers,Spread Betting,1.0
2023-10-25 22:15:50,4.5,90.9090909090909,Washington Wizards,Spread Betting,1.0
2023-10-25 22:05:43,-2.5,89.28571428571429,Chicago Bulls,Spread Betting,1.0
2023-10-25 22:05:43,2.5,92.5925925925926,Oklahoma City Thunder,Spread Betting,1.0
2023-10-25 21:40:10,1.0,89.28571428571429,Minnesota Timberwolves,Spread Betting,1.0
2023-10-25 18:30:04,-4.5,90.9090909090909,Orlando Magic,Spread Betting,1.0
2023-10-25 18:30:04,4.5,90.9090909090909,Houston Rockets,Spread Betting,1.0
2023-10-25 17:10:15,-1.0,92.5925925925926,Toronto Raptors,Spread Betting,1.0
2023-10-24 18:05:10,-2.0,87.71929824561403,Sacramento Kings,Spread Betting,1.0
2023-10-24 18:05:10,1.0,90.9090909090909,Utah Jazz,Spread Betting,1.0
2023-10-24 18:00:11,4.5,90.9090909090909,Los Angeles Lakers,Spread Betting,1.0
2023-10-24 18:00:11,-0.5,89.28571428571429,Golden State Warriors,Spread Betting,1.0
2023-10-24 18:00:11,0.5,92.5925925925926,Phoenix Suns,Spread Betting,1.0
2023-10-24 18:00:11,-4.5,90.9090909090909,Denver Nuggets,Spread Betting,1.0
2023-10-27 03:11:15,-6.5,75.75757575757575,Los Angeles Lakers,Spread Betting,0.0
2023-10-27 03:11:15,6.5,104.0,Phoenix Suns,Spread Betting,0.0
2023-10-27 01:55:18,6.5,90.9090909090909,Phoenix Suns,Spread Betting,1.0
2023-10-27 01:55:18,-6.5,90.9090909090909,Los Angeles Lakers,Spread Betting,1.0
2023-10-27 00:41:01,-10.5,88.49557522123894,Milwaukee Bucks,Spread Betting,0.0
2023-10-27 00:41:01,10.5,86.95652173913044,Philadelphia 76ers,Spread Betting,0.0
2023-10-26 23:25:30,6.0,90.9090909090909,Philadelphia 76ers,Spread Betting,1.0
2023-10-26 23:25:30,-6.0,90.9090909090909,Milwaukee Bucks,Spread Betting,1.0
2023-10-24 17:01:15,-3.5,90.9090909090909,Orlando Magic,Spread Betting,1.0
2023-10-24 17:01:15,-3.5,94.33962264150944,Boston Celtics,Spread Betting,1.0
2023-10-24 17:01:15,3.0,92.5925925925926,Charlotte Hornets,Spread Betting,1.0
2023-10-24 17:01:15,3.5,90.9090909090909,Houston Rockets,Spread Betting,1.0
2023-10-24 17:01:15,-3.0,89.28571428571429,Atlanta Hawks,Spread Betting,1.0
2023-10-24 17:01:15,2.5,90.9090909090909,New York Knicks,Spread Betting,1.0
2023-10-24 16:00:28,-7.0,87.71929824561403,Indiana Pacers,Spread Betting,1.0
2023-10-24 16:00:28,7.0,94.33962264150944,Washington Wizards,Spread Betting,1.0
2023-10-28 03:11:11,0.5,87.71929824561403,Sacramento Kings,Spread Betting,0.0
2023-10-28 03:11:11,1.5,76.92307692307693,Golden State Warriors,Spread Betting,0.0
2023-10-28 03:11:11,3.5,104.0,Portland Trail Blazers,Spread Betting,0.0
2023-10-28 03:11:11,-7.5,71.42857142857143,Orlando Magic,Spread Betting,0.0
2023-10-28 02:40:25,-4.5,87.71929824561403,Utah Jazz,Spread Betting,0.0
2023-10-28 02:40:25,4.5,87.71929824561403,Los Angeles Clippers,Spread Betting,0.0
2023-10-28 01:57:13,-4.0,94.33962264150944,Orlando Magic,Spread Betting,1.0
2023-10-28 01:57:13,4.0,87.71929824561403,Portland Trail Blazers,Spread Betting,1.0
2023-10-28 01:35:19,2.5,100.0,Brooklyn Nets,Spread Betting,0.0
2023-10-28 01:35:19,-2.5,76.92307692307693,Dallas Mavericks,Spread Betting,0.0
2023-10-28 01:10:28,-5.5,76.92307692307693,Chicago Bulls,Spread Betting,0.0
2023-10-28 01:10:28,5.5,100.0,Toronto Raptors,Spread Betting,0.0
2023-10-28 01:05:09,-1.5,71.42857142857143,San Antonio Spurs,Spread Betting,0.0
2023-10-28 01:05:09,-2.5,84.7457627118644,Houston Rockets,Spread Betting,0.0
2023-10-28 00:50:08,-3.0,90.9090909090909,Sacramento Kings,Spread Betting,1.0
2023-10-28 00:50:04,-4.5,90.9090909090909,Los Angeles Clippers,Spread Betting,1.0
2023-10-28 00:50:04,4.5,90.9090909090909,Utah Jazz,Spread Betting,1.0
2023-10-28 00:40:34,9.5,76.92307692307693,Miami Heat,Spread Betting,0.0
2023-10-28 00:40:34,6.5,80.0,Atlanta Hawks,Spread Betting,0.0
2023-10-28 00:40:34,-7.5,83.33333333333334,Boston Celtics,Spread Betting,0.0
2023-10-28 00:40:34,-6.5,96.15384615384616,New York Knicks,Spread Betting,0.0
2023-10-28 00:40:06,-5.5,78.125,Oklahoma City Thunder,Spread Betting,0.0
2023-10-28 00:40:06,7.5,83.33333333333334,Cleveland Cavaliers,Spread Betting,0.0
2023-10-28 00:25:30,3.0,90.9090909090909,Golden State Warriors,Spread Betting,1.0
2023-10-28 00:10:18,-3.5,87.71929824561403,Detroit Pistons,Spread Betting,0.0
2023-10-28 00:10:18,4.5,100.0,Charlotte Hornets,Spread Betting,0.0
2023-10-28 00:10:18,-7.5,90.9090909090909,Denver Nuggets,Spread Betting,0.0
2023-10-28 00:10:18,7.5,84.7457627118644,Memphis Grizzlies,Spread Betting,0.0
2023-10-27 23:21:22,-8.5,90.9090909090909,Boston Celtics,Spread Betting,1.0
2023-10-27 23:21:22,-1.5,90.9090909090909,New York Knicks,Spread Betting,1.0
2023-10-27 23:21:22,1.5,90.9090909090909,Atlanta Hawks,Spread Betting,1.0
2023-10-27 23:21:22,8.5,90.9090909090909,Miami Heat,Spread Betting,1.0
2023-10-27 23:21:04,-2.5,90.9090909090909,Cleveland Cavaliers,Spread Betting,1.0
2023-10-27 23:21:04,2.5,90.9090909090909,Oklahoma City Thunder,Spread Betting,1.0
2023-10-27 22:55:05,2.5,90.9090909090909,Toronto Raptors,Spread Betting,1.0
2023-10-27 22:55:05,-2.5,90.9090909090909,Chicago Bulls,Spread Betting,1.0
2023-10-27 22:45:25,3.5,89.28571428571429,Houston Rockets,Spread Betting,1.0
2023-10-27 22:45:25,-3.5,92.5925925925926,San Antonio Spurs,Spread Betting,1.0
2023-10-27 22:35:48,5.5,94.33962264150944,Memphis Grizzlies,Spread Betting,1.0
2023-10-27 22:35:48,-5.5,87.71929824561403,Denver Nuggets,Spread Betting,1.0
2023-10-27 22:25:14,-6.0,90.9090909090909,Dallas Mavericks,Spread Betting,1.0
2023-10-27 22:25:14,6.0,90.9090909090909,Brooklyn Nets,Spread Betting,1.0
2023-10-27 21:35:27,4.5,90.9090909090909,Detroit Pistons,Spread Betting,1.0
