PLUS_MINUS,game,handicap,odds,name,description,first,hit
3,2024-02-15 Milwaukee Bucks,-14.0,89.28571428571429,Milwaukee Bucks,Spread Betting,1.0,0.0
3,2024-02-15 Milwaukee Bucks,-7.5,78.125,Milwaukee Bucks,Spread Betting,0.0,0.0
-3,2024-02-15 Memphis Grizzlies,14.0,90.9090909090909,Memphis Grizzlies,Spread Betting,1.0,1.0
-3,2024-02-15 Memphis Grizzlies,7.5,98.0392156862745,Memphis Grizzlies,Spread Betting,0.0,1.0
-3,2024-02-15 Golden State Warriors,-2.5,89.28571428571429,Golden State Warriors,Spread Betting,1.0,1.0
-3,2024-02-15 Golden State Warriors,-9.5,71.42857142857143,Golden State Warriors,Spread Betting,0.0,0.0
3,2024-02-15 Utah Jazz,2.5,92.5925925925926,Utah Jazz,Spread Betting,1.0,0.0
3,2024-02-15 Utah Jazz,9.5,108.0,Utah Jazz,Spread Betting,0.0,1.0
-37,2024-02-15 Minnesota Timberwolves,-9.5,87.71929824561403,Minnesota Timberwolves,Spread Betting,1.0,1.0
-37,2024-02-15 Minnesota Timberwolves,-17.5,84.7457627118644,Minnesota Timberwolves,Spread Betting,0.0,1.0
37,2024-02-15 Portland Trail Blazers,9.5,94.33962264150944,Portland Trail Blazers,Spread Betting,1.0,0.0
37,2024-02-15 Portland Trail Blazers,15.5,100.0,Portland Trail Blazers,Spread Betting,0.0,0.0
-16,2024-02-14 Los Angeles Lakers,5.0,90.9090909090909,Los Angeles Lakers,Spread Betting,1.0,1.0
-16,2024-02-14 Los Angeles Lakers,1.5,104.0,Los Angeles Lakers,Spread Betting,0.0,1.0
16,2024-02-14 Utah Jazz,-4.5,90.9090909090909,Utah Jazz,Spread Betting,1.0,0.0
16,2024-02-14 Utah Jazz,1.5,86.95652173913044,Utah Jazz,Spread Betting,0.0,0.0
-5,2024-02-14 Miami Heat,2.5,92.5925925925926,Miami Heat,Spread Betting,1.0,1.0
-5,2024-02-14 Miami Heat,2.5,90.9090909090909,Miami Heat,Spread Betting,0.0,1.0
5,2024-02-14 Philadelphia 76ers,-2.5,89.28571428571429,Philadelphia 76ers,Spread Betting,1.0,0.0
5,2024-02-14 Philadelphia 76ers,-2.5,84.7457627118644,Philadelphia 76ers,Spread Betting,0.0,0.0
-23,2024-02-14 Dallas Mavericks,-11.5,92.5925925925926,Dallas Mavericks,Spread Betting,1.0,1.0
-23,2024-02-14 Dallas Mavericks,-10.5,96.15384615384616,Dallas Mavericks,Spread Betting,0.0,1.0
23,2024-02-14 San Antonio Spurs,11.5,89.28571428571429,San Antonio Spurs,Spread Betting,1.0,0.0
23,2024-02-14 San Antonio Spurs,10.5,80.0,San Antonio Spurs,Spread Betting,0.0,0.0
